Date,Description,Category,Amount,Balance,Reference,Account,Status
2025-03-26,Reserved delivery audit timeline over di,Payroll,-4679.34,99402.92,REF-639872,ACC-8091,Cleared
2025-03-31,Expenses audit dog timeline stakeholder ,Payroll,4713.39,104116.31,REF-847163,ACC-7971,Cleared
2025-04-05,Delivery quick risk payment information ,Travel,-9230.27,94886.04,REF-181331,ACC-8159,Reconciled
2025-04-09,Over client procurement financial the pr,Office Supplies,-8906.13,85979.91,REF-197281,ACC-3750,Cleared
2025-04-14,Contract timeline milestone management f,Office Supplies,165.69,86145.60,REF-319606,ACC-5740,Reconciled
2025-04-19,Brown rights brown allocation invoice pr,Travel,9797.75,95943.35,REF-841818,ACC-1832,Pending
2025-04-20,Expenses assessment audit meeting reserv,Marketing,-4458.31,91485.04,REF-385131,ACC-3545,Reconciled
2025-04-22,Agreement brown information quarterly ti,Legal,7718.82,99203.86,REF-667927,ACC-5378,Reconciled
2025-04-27,Timeline confidential assessment non-dis,Travel,3224.28,102428.14,REF-250704,ACC-8785,Cleared
2025-04-28,Risk lazy terms management expenses disc,Software,-6625.64,95802.50,REF-796216,ACC-7140,Pending
2025-05-03,Milestone contract dog property timeline,Consulting,8841.40,104643.90,REF-616818,ACC-6762,Reconciled
2025-05-07,Confidential brown budget client reserve,Travel,689.44,105333.34,REF-371882,ACC-2048,Reconciled
2025-05-11,Disclosure expenses assessment project j,Software,4361.91,109695.25,REF-170032,ACC-7292,Reconciled
2025-05-16,Allocation delivery confidential plannin,Consulting,6406.32,116101.57,REF-873583,ACC-3793,Cleared
2025-05-19,Quarterly quarterly property agreement d,Office Supplies,4110.11,120211.68,REF-471548,ACC-4759,Pending
2025-05-23,Client stakeholder implementation projec,Marketing,5792.01,126003.69,REF-785765,ACC-5814,Pending
2025-05-25,Expenses report brown contract audit del,Marketing,-6582.05,119421.64,REF-714778,ACC-4564,Cleared
2025-05-30,Meeting information milestone procuremen,Consulting,-6746.18,112675.46,REF-868032,ACC-8846,Reconciled
2025-05-31,Agreement compliance intellectual dog ov,Insurance,9322.54,121998.00,REF-349981,ACC-8825,Reconciled
2025-06-04,Allocation implementation rights report ,Travel,-676.14,121321.86,REF-379631,ACC-8963,Pending
2025-06-05,Framework project proprietary quarterly ,Utilities,-5940.85,115381.01,REF-689645,ACC-3674,Pending
2025-06-08,Framework procurement payment budget pro,Marketing,-5988.14,109392.87,REF-109542,ACC-1556,Pending
2025-06-11,Risk audit assessment report non-disclos,Legal,1852.93,111245.80,REF-816630,ACC-7796,Pending
2025-06-15,Report over audit resource compliance mi,Office Supplies,6733.97,117979.77,REF-562043,ACC-4340,Reconciled
2025-06-17,Allocation client information deliverabl,Utilities,7213.04,125192.81,REF-865566,ACC-6765,Pending
2025-06-19,Reserved terms implementation invoice co,Travel,-8662.55,116530.26,REF-790721,ACC-9831,Cleared
2025-06-22,The the quick reserved report management,Office Supplies,-827.25,115703.01,REF-932608,ACC-4631,Cleared
2025-06-27,Management client report expenses non-di,Consulting,-4172.57,111530.44,REF-250507,ACC-5969,Cleared
2025-07-01,Property the assessment timeline project,Marketing,4436.99,115967.43,REF-469092,ACC-6526,Cleared
2025-07-06,Meeting regulatory quick timeline quarte,Legal,3904.17,119871.60,REF-845447,ACC-6624,Cleared
2025-07-09,Quarterly allocation framework brown pro,Office Supplies,-8271.36,111600.24,REF-626962,ACC-3202,Reconciled
2025-07-13,Over implementation intellectual strateg,Insurance,5042.57,116642.81,REF-659677,ACC-7102,Reconciled
2025-07-14,Property compliance confidential audit r,Travel,-8038.68,108604.13,REF-833672,ACC-6644,Cleared
2025-07-16,Dog reserved meeting contract financial ,Utilities,-4196.61,104407.52,REF-745308,ACC-9961,Reconciled
2025-07-21,Revenue risk invoice client reserved con,Insurance,-1559.39,102848.13,REF-564752,ACC-6420,Reconciled
